"1","so0@ba.ka","TestPassword0","TestFirstName","TestLastName0"
"3","so2@ba.ka","TestPassword2","TestFirstName","TestLastName2"
"4","so3@ba.ka","TestPassword3","TestFirstName","TestLastName3"
"5","so4@ba.ka","TestPassword4","TestFirstName","TestLastName4"
"6","so5@ba.ka","TestPassword5","TestFirstName","TestLastName5"
"7","so6@ba.ka","TestPassword6","TestFirstName","TestLastName6"
"8","so7@ba.ka","TestPassword7","TestFirstName","TestLastName7"
"9","so8@ba.ka","TestPassword8","TestFirstName","TestLastName8"
"10","so9@ba.ka","TestPassword9","TestFirstName","TestLastName9"
"11","so10@ba.ka","TestPassword10","TestFirstName","TestLastName10"
"12","so11@ba.ka","TestPassword11","TestFirstName","TestLastName11"
"13","so12@ba.ka","TestPassword12","TestFirstName","TestLastName12"
"14","so13@ba.ka","TestPassword13","TestFirstName","TestLastName13"
"15","so14@ba.ka","TestPassword14","TestFirstName","TestLastName14"
"16","so15@ba.ka","TestPassword15","TestFirstName","TestLastName15"
"17","so16@ba.ka","TestPassword16","TestFirstName","TestLastName16"
"18","so17@ba.ka","TestPassword17","TestFirstName","TestLastName17"
"19","so18@ba.ka","TestPassword18","TestFirstName","TestLastName18"
"20","so19@ba.ka","TestPassword19","TestFirstName","TestLastName19"
"21","so20@ba.ka","TestPassword20","TestFirstName","TestLastName20"
"22","so21@ba.ka","TestPassword21","TestFirstName","TestLastName21"
"23","so22@ba.ka","TestPassword22","TestFirstName","TestLastName22"
"24","so23@ba.ka","TestPassword23","TestFirstName","TestLastName23"
"25","so24@ba.ka","TestPassword24","TestFirstName","TestLastName24"
"26","so25@ba.ka","TestPassword25","TestFirstName","TestLastName25"
"27","so26@ba.ka","TestPassword26","TestFirstName","TestLastName26"
"28","so27@ba.ka","TestPassword27","TestFirstName","TestLastName27"
"29","so28@ba.ka","TestPassword28","TestFirstName","TestLastName28"
"30","so29@ba.ka","TestPassword29","TestFirstName","TestLastName29"
"31","so30@ba.ka","TestPassword30","TestFirstName","TestLastName30"
"32","so31@ba.ka","TestPassword31","TestFirstName","TestLastName31"
"33","so32@ba.ka","TestPassword32","TestFirstName","TestLastName32"
"34","so33@ba.ka","TestPassword33","TestFirstName","TestLastName33"
"35","so34@ba.ka","TestPassword34","TestFirstName","TestLastName34"
"36","so35@ba.ka","TestPassword35","TestFirstName","TestLastName35"
"37","so36@ba.ka","TestPassword36","TestFirstName","TestLastName36"
"38","so37@ba.ka","TestPassword37","TestFirstName","TestLastName37"
"39","so38@ba.ka","TestPassword38","TestFirstName","TestLastName38"
"40","so39@ba.ka","TestPassword39","TestFirstName","TestLastName39"
"41","so40@ba.ka","TestPassword40","TestFirstName","TestLastName40"
"42","so41@ba.ka","TestPassword41","TestFirstName","TestLastName41"
"43","so42@ba.ka","TestPassword42","TestFirstName","TestLastName42"
"44","so43@ba.ka","TestPassword43","TestFirstName","TestLastName43"
"45","so44@ba.ka","TestPassword44","TestFirstName","TestLastName44"
"46","so45@ba.ka","TestPassword45","TestFirstName","TestLastName45"
"47","so46@ba.ka","TestPassword46","TestFirstName","TestLastName46"
"48","so47@ba.ka","TestPassword47","TestFirstName","TestLastName47"
"49","so48@ba.ka","TestPassword48","TestFirstName","TestLastName48"
"50","so49@ba.ka","TestPassword49","TestFirstName","TestLastName49"
"2","so1@ba.ka","TestPassword1","TestFirstName","NewLAST"
